id,date,match,market,odds,stake,result,support_5,support_10,support_20,support_30,support_40,conflict_5,qualifies_double,support_rows,conflict_rows
132,2026-04-24,Fremantle vs Carlton,Under 159.5,1.9,50.0,loss,3,0,0,0,0,0,True,3.6% Fremantle Dockers Total Points — Home; 1.0% Fremantle Dockers Short Rest (≤ 6 days); 2.8% Fremantle Dockers After a Win; 8.1% Fremantle Dockers vs Carlton; 3.6% Fremantle Dockers Optus Stadium; 2.8% Carlton Blues Total Points — Away; 5.2% Carlton Blues After a Loss; 8.1% Carlton Blues vs Fremantle; 3.2% Carlton Blues Optus Stadium,2.2% Carlton Blues April
14,2026-04-25,Eagles vs Saints,Total Over 153.5,1.9,50.0,loss,1,0,0,0,0,1,False,2.7% West Coast Eagles Total Points — Away; 1.9% West Coast Eagles Day Games (kick-off < 18:00); 1.1% West Coast Eagles After a Loss; 6.0% West Coast Eagles April,3.7% St Kilda Saints Total Points — Home; 4.8% St Kilda Saints Day Games (kick-off < 18:00); 3.2% St Kilda Saints Sunday Games; 6.1% St Kilda Saints After a Loss; 1.6% St Kilda Saints April; 3.0% St Kilda Saints vs West Coast; 4.6% St Kilda Saints Marvel Stadium; 3.0% West Coast Eagles vs St Kilda; 4.6% West Coast Eagles Marvel Stadium
325,2026-04-25,Brisbane vs Adelaide Crows,Under 189.5,2.0,50.0,loss,0,0,0,0,0,1,False,1.7% Brisbane Lions Total Points — Home; 1.5% Brisbane Lions After a Loss; 2.2% Brisbane Lions Gabba; 1.1% Adelaide Crows After a Win; 2.0% Adelaide Crows April,3.2% Brisbane Lions Day Games (kick-off < 18:00); 2.2% Brisbane Lions Sunday Games; 6.2% Brisbane Lions April; 1.8% Brisbane Lions vs Adelaide; 2.9% Adelaide Crows Total Points — Away; 2.7% Adelaide Crows Day Games (kick-off < 18:00); 3.9% Adelaide Crows Sunday Games; 1.8% Adelaide Crows vs Brisbane
331,2026-05-02,Carlton vs St Kilda,Under 183.5,1.89,50.0,win,6,2,0,0,0,0,True,1.3% Carlton Blues Total Points — Home; 5.2% Carlton Blues After a Loss; 3.3% Carlton Blues May; 11.0% Carlton Blues vs St Kilda; 5.2% St Kilda Saints Total Points — Away; 4.8% St Kilda Saints Day Games (kick-off < 18:00); 7.3% St Kilda Saints Saturday Games; 4.3% St Kilda Saints Short Rest (≤ 6 days); 3.1% St Kilda Saints After a Win; 7.4% St Kilda Saints May; 3.7% St Kilda Saints Full Moon (±1 day); 11.0% St Kilda Saints vs Carlton; 4.6% St Kilda Saints Marvel Stadium,2.1% Carlton Blues Full Moon (±1 day); 2.7% Carlton Blues Marvel Stadium
337,2026-05-09,GWS vs Essendon,Under 193.5,1.87,50.0,win,2,1,0,0,0,0,False,7.1% Greater Western Sydney Giants Short Rest (≤ 6 days); 1.7% Greater Western Sydney Giants May; 4.0% Greater Western Sydney Giants vs Essendon; 2.4% Essendon Bombers Total Points — Away; 2.0% Essendon Bombers Saturday Games; 12.7% Essendon Bombers May; 4.0% Essendon Bombers vs GWS Giants,3.2% Greater Western Sydney Giants Total Points — Home; 2.5% Greater Western Sydney Giants After a Loss; 4.9% Greater Western Sydney Giants ENGIE Stadium; 3.2% Essendon Bombers Day Games (kick-off < 18:00)
341,2026-05-15,Sydney Swans vs Collingwood,Under 181.5,1.86,50.0,win,0,0,0,0,0,0,False,1.2% Sydney Swans Short Rest (≤ 6 days); 1.4% Sydney Swans May; 3.5% Sydney Swans vs Collingwood; 1.5% Collingwood Magpies Day Games (kick-off < 18:00); 2.7% Collingwood Magpies May; 3.5% Collingwood Magpies vs Sydney; 2.7% Collingwood Magpies SCG,1.9% Collingwood Magpies Short Rest (≤ 6 days)
356,2026-05-22,Richmond vs Essendon,Under 176.5,1.88,25.0,win,3,3,0,0,0,0,True,4.6% Richmond Tigers Total Points — Home; 2.1% Richmond Tigers Thursday / Friday Games; 2.0% Richmond Tigers After a Loss; 1.2% Richmond Tigers May; 13.7% Richmond Tigers vs Essendon; 2.3% Richmond Tigers MCG; 2.4% Essendon Bombers Total Points — Away; 4.1% Essendon Bombers Thursday / Friday Games; 1.2% Essendon Bombers Short Rest (≤ 6 days); 12.7% Essendon Bombers May; 13.7% Essendon Bombers vs Richmond,1.5% Richmond Tigers Day Games (kick-off < 18:00); 3.2% Essendon Bombers Day Games (kick-off < 18:00); 1.1% Essendon Bombers MCG
361,2026-05-23,Collingwood vs West Coast Eagles,Under 180.5,1.87,25.0,win,2,0,0,0,0,2,False,2.2% Collingwood Magpies Total Points — Home; 1.5% Collingwood Magpies Day Games (kick-off < 18:00); 2.7% Collingwood Magpies May; 8.5% Collingwood Magpies vs West Coast; 1.1% Collingwood Magpies MCG; 8.5% West Coast Eagles vs Collingwood,3.5% Collingwood Magpies Saturday Games; 2.7% West Coast Eagles Total Points — Away; 1.9% West Coast Eagles Day Games (kick-off < 18:00); 2.4% West Coast Eagles Saturday Games; 2.4% West Coast Eagles Short Rest (≤ 6 days); 6.4% West Coast Eagles After a Win; 1.2% West Coast Eagles May; 7.0% West Coast Eagles MCG
375,2026-05-29,Carlton vs Geelong Cats,Over 178.5,1.89,25.0,loss,4,1,0,0,0,1,False,9.5% Carlton Blues vs Geelong; 3.2% Geelong Cats Total Points — Away; 3.5% Geelong Cats Day Games (kick-off < 18:00); 8.4% Geelong Cats Thursday / Friday Games; 2.8% Geelong Cats Short Rest (≤ 6 days); 4.8% Geelong Cats After a Win; 3.3% Geelong Cats May; 9.5% Geelong Cats vs Carlton; 10.0% Geelong Cats MCG,1.3% Carlton Blues Total Points — Home; 3.0% Carlton Blues Thursday / Friday Games; 2.2% Carlton Blues Short Rest (≤ 6 days); 3.3% Carlton Blues May; 5.5% Carlton Blues MCG
390,2026-06-06,Gold Coast Suns vs Brisbane Lions,Under 188.5,1.88,25.0,win,0,0,0,0,0,1,False,1.0% Gold Coast Suns Saturday Games; 3.0% Gold Coast Suns vs Brisbane; 1.5% Brisbane Lions After a Loss; 3.0% Brisbane Lions vs Gold Coast,2.8% Gold Coast Suns Total Points — Home; 3.4% Gold Coast Suns After a Loss; 3.5% Brisbane Lions Total Points — Away; 3.2% Brisbane Lions Day Games (kick-off < 18:00); 4.4% Brisbane Lions June; 7.8% Brisbane Lions People First Stadium
398,2026-06-07,Essendon vs Carlton,Under 168.5,1.89,25.0,win,3,0,0,0,0,1,False,8.8% Essendon Bombers vs Carlton; 2.8% Carlton Blues Total Points — Away; 3.4% Carlton Blues Sunday Games; 4.0% Carlton Blues June; 8.8% Carlton Blues vs Essendon; 5.5% Carlton Blues MCG,1.3% Essendon Bombers Total Points — Home; 3.2% Essendon Bombers Day Games (kick-off < 18:00); 4.9% Essendon Bombers Sunday Games; 6.3% Essendon Bombers June; 1.1% Essendon Bombers MCG
399,2026-06-07,Essendon vs Carlton,Under 173.5,1.88,25.0,win,3,0,0,0,0,1,False,8.8% Essendon Bombers vs Carlton; 2.8% Carlton Blues Total Points — Away; 3.4% Carlton Blues Sunday Games; 4.0% Carlton Blues June; 8.8% Carlton Blues vs Essendon; 5.5% Carlton Blues MCG,1.3% Essendon Bombers Total Points — Home; 3.2% Essendon Bombers Day Games (kick-off < 18:00); 4.9% Essendon Bombers Sunday Games; 6.3% Essendon Bombers June; 1.1% Essendon Bombers MCG
408,2026-06-13,Melbourne Demons vs Essendon Bombers,Under 162.5,1.89,50.0,win,2,0,0,0,0,1,False,5.7% Melbourne Demons Night Games (kick-off ≥ 18:00); 1.8% Melbourne Demons Saturday Games; 4.1% Melbourne Demons Short Rest (≤ 6 days); 7.0% Melbourne Demons June; 2.4% Melbourne Demons MCG; 2.4% Essendon Bombers Total Points — Away; 4.1% Essendon Bombers Night Games (kick-off ≥ 18:00); 2.0% Essendon Bombers Saturday Games; 1.2% Essendon Bombers Short Rest (≤ 6 days),6.3% Essendon Bombers June; 1.1% Essendon Bombers MCG
409,2026-06-13,Melbourne Demons vs Essendon Bombers,Over 79.5 2nd Half,1.89,22.5,loss,1,0,0,0,0,2,False,6.3% Essendon Bombers June; 1.1% Essendon Bombers MCG,5.7% Melbourne Demons Night Games (kick-off ≥ 18:00); 1.8% Melbourne Demons Saturday Games; 4.1% Melbourne Demons Short Rest (≤ 6 days); 7.0% Melbourne Demons June; 2.4% Melbourne Demons MCG; 2.4% Essendon Bombers Total Points — Away; 4.1% Essendon Bombers Night Games (kick-off ≥ 18:00); 2.0% Essendon Bombers Saturday Games; 1.2% Essendon Bombers Short Rest (≤ 6 days)
415,2026-06-14,St Kilda Saints vs GWS Giants,Under 185.5,1.89,28.95,win,4,0,0,0,0,0,True,3.7% St Kilda Saints Total Points — Home; 4.8% St Kilda Saints Day Games (kick-off < 18:00); 3.2% St Kilda Saints Sunday Games; 6.1% St Kilda Saints After a Loss; 6.0% St Kilda Saints June; 5.1% St Kilda Saints New Moon (±1 day); 4.6% St Kilda Saints Marvel Stadium; 2.5% Greater Western Sydney Giants Total Points — Away; 2.1% Greater Western Sydney Giants After a Win; 5.1% Greater Western Sydney Giants Marvel Stadium,4.7% St Kilda Saints vs GWS Giants; 3.9% Greater Western Sydney Giants Sunday Games; 3.6% Greater Western Sydney Giants June; 3.4% Greater Western Sydney Giants New Moon (±1 day); 4.7% Greater Western Sydney Giants vs St Kilda
417,2026-06-19,Gold Coast Suns vs Hawthorn Hawks,Under 180.5,1.9,50.0,loss,0,0,0,0,0,1,False,4.0% Gold Coast Suns vs Hawthorn; 1.1% Hawthorn Hawks Thursday / Friday Games; 1.1% Hawthorn Hawks June; 4.0% Hawthorn Hawks vs Gold Coast,2.8% Gold Coast Suns Total Points — Home; 6.5% Gold Coast Suns Thursday / Friday Games; 3.4% Gold Coast Suns After a Loss
426,2026-06-21,Richmond Tigers vs North Melbourne Kangaroos,Under 176.5,1.91,50.0,win,0,0,0,0,0,1,False,4.6% Richmond Tigers Total Points — Home; 3.1% Richmond Tigers Night Games (kick-off ≥ 18:00); 2.0% Richmond Tigers After a Loss; 2.3% Richmond Tigers MCG; 1.4% North Melbourne Kangaroos June; 2.3% North Melbourne Kangaroos MCG,1.9% Richmond Tigers Sunday Games; 3.5% Richmond Tigers vs North Melbourne; 1.2% North Melbourne Kangaroos Total Points — Away; 1.6% North Melbourne Kangaroos Night Games (kick-off ≥ 18:00); 9.3% North Melbourne Kangaroos After a Win; 3.5% North Melbourne Kangaroos vs Richmond
437,2026-06-27,Collingwood Magpies vs Richmond Tigers,Under 170.5,1.87,50.0,loss,2,0,0,0,0,0,False,2.2% Collingwood Magpies Total Points — Home; 1.5% Collingwood Magpies Day Games (kick-off < 18:00); 1.9% Collingwood Magpies After a Win; 2.1% Collingwood Magpies June; 6.1% Collingwood Magpies vs Richmond; 1.1% Collingwood Magpies MCG; 2.0% Richmond Tigers After a Loss; 6.1% Richmond Tigers vs Collingwood; 2.3% Richmond Tigers MCG,3.5% Collingwood Magpies Saturday Games; 4.1% Richmond Tigers Total Points — Away; 1.5% Richmond Tigers Day Games (kick-off < 18:00)
462,2026-07-10,Collingwood Magpies vs North Melbourne Kangaroos,Under 174.5,1.89,50.0,win,0,0,0,0,0,3,False,2.2% Collingwood Magpies Total Points — Home; 1.5% Collingwood Magpies Day Games (kick-off < 18:00); 1.9% Collingwood Magpies After a Win,1.9% Collingwood Magpies Short Rest (≤ 6 days); 1.7% Collingwood Magpies July; 10.1% Collingwood Magpies vs North Melbourne; 1.9% Collingwood Magpies Marvel Stadium; 1.2% North Melbourne Kangaroos Total Points — Away; 2.5% North Melbourne Kangaroos Day Games (kick-off < 18:00); 5.3% North Melbourne Kangaroos Thursday / Friday Games; 4.2% North Melbourne Kangaroos Short Rest (≤ 6 days); 1.4% North Melbourne Kangaroos After a Loss; 2.5% North Melbourne Kangaroos July; 10.1% North Melbourne Kangaroos vs Collingwood
466,2026-07-12,Melbourne Demons vs Richmond Tigers,Under 173.5,1.89,35.0,loss,2,0,0,0,0,0,False,5.0% Melbourne Demons vs Richmond; 2.4% Melbourne Demons MCG; 2.0% Richmond Tigers After a Loss; 5.0% Richmond Tigers vs Melbourne; 2.3% Richmond Tigers MCG,1.9% Melbourne Demons Day Games (kick-off < 18:00); 3.9% Melbourne Demons Sunday Games; 4.7% Melbourne Demons July; 4.1% Richmond Tigers Total Points — Away; 1.5% Richmond Tigers Day Games (kick-off < 18:00); 1.9% Richmond Tigers Sunday Games; 2.1% Richmond Tigers July
479,2026-07-19,Richmond vs Hawthorn,Under 176.5,1.86,40.27,win,0,0,0,0,0,2,False,4.6% Richmond Tigers Total Points — Home; 3.1% Richmond Tigers Night Games (kick-off ≥ 18:00); 2.0% Richmond Tigers After a Loss; 2.3% Richmond Tigers MCG; 1.5% Hawthorn Hawks Sunday Games,1.9% Richmond Tigers Sunday Games; 2.1% Richmond Tigers July; 6.6% Richmond Tigers vs Hawthorn; 1.0% Hawthorn Hawks After a Win; 6.6% Hawthorn Hawks vs Richmond
480,2026-07-19,Richmond vs Hawthorn,Under 192.5,1.87,20.0,win,0,0,0,0,0,2,False,4.6% Richmond Tigers Total Points — Home; 3.1% Richmond Tigers Night Games (kick-off ≥ 18:00); 2.0% Richmond Tigers After a Loss; 2.3% Richmond Tigers MCG; 1.5% Hawthorn Hawks Sunday Games,1.9% Richmond Tigers Sunday Games; 2.1% Richmond Tigers July; 6.6% Richmond Tigers vs Hawthorn; 1.0% Hawthorn Hawks After a Win; 6.6% Hawthorn Hawks vs Richmond
481,2026-07-19,Gold Coast Suns vs Western Bulldogs,Under 164.5,1.92,25.0,win,0,0,0,0,0,2,False,,2.8% Gold Coast Suns Total Points — Home; 3.4% Gold Coast Suns After a Loss; 12.8% Gold Coast Suns vs Western Bulldogs; 2.8% Western Bulldogs Total Points — Away; 12.8% Western Bulldogs vs Gold Coast
485,2026-07-25,Carlton Blues vs Gold Coast Suns,Under 171.5,1.86,50.0,loss,2,0,0,0,0,0,False,1.3% Carlton Blues Total Points — Home; 4.9% Carlton Blues Night Games (kick-off ≥ 18:00); 5.2% Carlton Blues After a Loss; 2.1% Gold Coast Suns Total Points — Away; 1.2% Gold Coast Suns Night Games (kick-off ≥ 18:00); 1.0% Gold Coast Suns Saturday Games; 8.3% Gold Coast Suns Marvel Stadium,2.6% Carlton Blues vs Gold Coast; 2.7% Carlton Blues Marvel Stadium; 1.8% Gold Coast Suns Short Rest (≤ 6 days); 3.4% Gold Coast Suns After a Loss; 2.6% Gold Coast Suns vs Carlton
491,2026-07-26,Brisbane Lions vs Port Adelaide Power,Over 188.5,1.91,27.0,win,3,2,0,0,0,0,True,2.2% Brisbane Lions Sunday Games; 2.3% Brisbane Lions After a Win; 1.5% Brisbane Lions July; 14.0% Brisbane Lions vs Port Adelaide; 1.1% Port Adelaide Power Sunday Games; 1.0% Port Adelaide Power After a Loss; 3.0% Port Adelaide Power July; 14.0% Port Adelaide Power vs Brisbane; 8.2% Port Adelaide Power Gabba,1.7% Brisbane Lions Total Points — Home; 1.1% Brisbane Lions Night Games (kick-off ≥ 18:00); 2.2% Brisbane Lions Gabba; 2.0% Port Adelaide Power Total Points — Away; 3.0% Port Adelaide Power Night Games (kick-off ≥ 18:00)
497,2026-08-01,Hawthorn Hawks vs North Melbourne Kangaroos,Under 177.5,1.89,44.25,loss,0,0,0,0,0,2,False,2.0% Hawthorn Hawks August; 4.7% Hawthorn Hawks UTAS Stadium,1.4% Hawthorn Hawks Saturday Games; 1.0% Hawthorn Hawks After a Win; 2.6% Hawthorn Hawks vs North Melbourne; 1.2% North Melbourne Kangaroos Total Points — Away; 1.6% North Melbourne Kangaroos Night Games (kick-off ≥ 18:00); 4.0% North Melbourne Kangaroos Saturday Games; 4.2% North Melbourne Kangaroos Short Rest (≤ 6 days); 1.4% North Melbourne Kangaroos After a Loss; 9.0% North Melbourne Kangaroos August; 2.6% North Melbourne Kangaroos vs Hawthorn; 14.7% North Melbourne Kangaroos UTAS Stadium
502,2026-08-02,Richmond Tigers vs West Coast Eagles,Under 167.5,1.87,50.0,win,0,0,0,0,0,3,False,4.6% Richmond Tigers Total Points — Home; 3.1% Richmond Tigers Night Games (kick-off ≥ 18:00); 2.0% Richmond Tigers After a Loss; 2.3% Richmond Tigers MCG,1.9% Richmond Tigers Sunday Games; 1.1% Richmond Tigers August; 6.6% Richmond Tigers vs West Coast; 2.7% West Coast Eagles Total Points — Away; 1.7% West Coast Eagles Night Games (kick-off ≥ 18:00); 1.1% West Coast Eagles After a Loss; 1.6% West Coast Eagles August; 6.6% West Coast Eagles vs Richmond; 7.0% West Coast Eagles MCG
504,2026-08-02,Gold Coast Suns vs Melbourne Demons,Under 180.5,1.91,50.0,loss,0,0,0,0,0,3,False,3.4% Melbourne Demons Total Points — Away; 3.3% Melbourne Demons After a Loss; 3.8% Melbourne Demons August,2.8% Gold Coast Suns Total Points — Home; 3.4% Gold Coast Suns After a Loss; 1.3% Gold Coast Suns August; 6.8% Gold Coast Suns vs Melbourne; 1.9% Melbourne Demons Day Games (kick-off < 18:00); 3.9% Melbourne Demons Sunday Games; 6.8% Melbourne Demons vs Gold Coast; 6.3% Melbourne Demons People First Stadium
